#           k/h    P           
    0.35781E-01    0.12596E+04
    0.36504E-01    0.12332E+04
    0.37241E-01    0.12072E+04
    0.37993E-01    0.11819E+04
    0.38761E-01    0.11571E+04
    0.39544E-01    0.11330E+04
    0.40343E-01    0.11096E+04
    0.41158E-01    0.10868E+04
    0.41989E-01    0.10649E+04
    0.42838E-01    0.10437E+04
    0.43703E-01    0.10235E+04
    0.44586E-01    0.10042E+04
    0.45486E-01    0.98595E+03
    0.46405E-01    0.96874E+03
    0.47343E-01    0.95247E+03
    0.48299E-01    0.93705E+03
    0.49275E-01    0.92241E+03
    0.50270E-01    0.90848E+03
    0.51286E-01    0.89517E+03
    0.52322E-01    0.88242E+03
    0.53379E-01    0.87017E+03
    0.54457E-01    0.85834E+03
    0.55557E-01    0.84686E+03
    0.56680E-01    0.83563E+03
    0.57825E-01    0.82456E+03
    0.58993E-01    0.81355E+03
    0.60184E-01    0.80247E+03
    0.61400E-01    0.79117E+03
    0.62641E-01    0.77952E+03
    0.63906E-01    0.76734E+03
    0.65197E-01    0.75442E+03
    0.66514E-01    0.74060E+03
    0.67858E-01    0.72594E+03
    0.69229E-01    0.71059E+03
    0.70627E-01    0.69470E+03
    0.72054E-01    0.67811E+03
    0.73510E-01    0.66052E+03
    0.74994E-01    0.64172E+03
    0.76509E-01    0.62193E+03
    0.78055E-01    0.60153E+03
    0.79632E-01    0.58086E+03
    0.81241E-01    0.56006E+03
    0.82882E-01    0.53927E+03
    0.84556E-01    0.51867E+03
    0.86264E-01    0.49847E+03
    0.88007E-01    0.47887E+03
    0.89785E-01    0.46009E+03
    0.91598E-01    0.44229E+03
    0.93449E-01    0.42565E+03
    0.95337E-01    0.41032E+03
    0.97263E-01    0.39643E+03
    0.99227E-01    0.38404E+03
    0.10123E+00    0.37311E+03
    0.10328E+00    0.36363E+03
    0.10536E+00    0.35543E+03
    0.10749E+00    0.34833E+03
    0.10966E+00    0.34210E+03
    0.11188E+00    0.33647E+03
    0.11414E+00    0.33116E+03
    0.11644E+00    0.32588E+03
    0.11880E+00    0.32036E+03
    0.12120E+00    0.31435E+03
    0.12365E+00    0.30764E+03
    0.12614E+00    0.30009E+03
    0.12869E+00    0.29162E+03
    0.13129E+00    0.28225E+03
    0.13394E+00    0.27206E+03
    0.13665E+00    0.26122E+03
    0.13941E+00    0.24995E+03
    0.14223E+00    0.23855E+03
    0.14510E+00    0.22732E+03
    0.14803E+00    0.21661E+03
    0.15102E+00    0.20672E+03
    0.15407E+00    0.19790E+03
    0.15718E+00    0.19025E+03
    0.16036E+00    0.18381E+03
    0.16360E+00    0.17845E+03
    0.16690E+00    0.17399E+03
    0.17028E+00    0.17020E+03
    0.17371E+00    0.16681E+03
    0.17722E+00    0.16354E+03
    0.18080E+00    0.16007E+03
    0.18446E+00    0.15612E+03
    0.18818E+00    0.15152E+03
    0.19198E+00    0.14622E+03
    0.19586E+00    0.14035E+03
    0.19982E+00    0.13416E+03
    0.20386E+00    0.12789E+03
    0.20797E+00    0.12182E+03
    0.21218E+00    0.11619E+03
    0.21646E+00    0.11122E+03
    0.22083E+00    0.10699E+03
    0.22530E+00    0.10347E+03
    0.22985E+00    0.10053E+03
    0.23449E+00    0.97948E+02
    0.23923E+00    0.95472E+02
    0.24406E+00    0.92862E+02
    0.24899E+00    0.89949E+02
    0.25402E+00    0.86683E+02
    0.25915E+00    0.83138E+02
    0.26439E+00    0.79474E+02
    0.26973E+00    0.75882E+02
    0.27518E+00    0.72547E+02
    0.28074E+00    0.69597E+02
    0.28641E+00    0.67058E+02
    0.29219E+00    0.64859E+02
    0.29810E+00    0.62861E+02
    0.30412E+00    0.60909E+02
    0.31026E+00    0.58870E+02
    0.31653E+00    0.56687E+02
    0.32292E+00    0.54391E+02
    0.32945E+00    0.52084E+02
    0.33610E+00    0.49879E+02
    0.34289E+00    0.47863E+02
    0.34982E+00    0.46059E+02
    0.35689E+00    0.44431E+02
    0.36409E+00    0.42897E+02
    0.37145E+00    0.41378E+02
    0.37895E+00    0.39823E+02
    0.38661E+00    0.38238E+02
    0.39442E+00    0.36677E+02
    0.40239E+00    0.35193E+02
    0.41052E+00    0.33818E+02
    0.41881E+00    0.32549E+02
    0.42727E+00    0.31350E+02
    0.43590E+00    0.30179E+02
    0.44471E+00    0.29016E+02
    0.45369E+00    0.27865E+02
    0.46286E+00    0.26753E+02
    0.47221E+00    0.25702E+02
    0.48174E+00    0.24712E+02
    0.49148E+00    0.23772E+02
    0.50141E+00    0.22860E+02
    0.51153E+00    0.21968E+02
    0.52187E+00    0.21103E+02
    0.53241E+00    0.20273E+02
    0.54317E+00    0.19483E+02
    0.55414E+00    0.18730E+02
    0.56533E+00    0.18005E+02
    0.57675E+00    0.17301E+02
    0.58840E+00    0.16624E+02
    0.60029E+00    0.15974E+02
    0.61242E+00    0.15351E+02
    0.62479E+00    0.14754E+02
    0.63741E+00    0.14181E+02
    0.65029E+00    0.13630E+02
    0.66342E+00    0.13100E+02
    0.67683E+00    0.12591E+02
    0.69050E+00    0.12101E+02
    0.70445E+00    0.11631E+02
    0.71868E+00    0.11179E+02
    0.73320E+00    0.10745E+02
    0.74801E+00    0.10328E+02
    0.76312E+00    0.99281E+01
    0.77854E+00    0.95437E+01
    0.79426E+00    0.91746E+01
    0.81031E+00    0.88202E+01
    0.82668E+00    0.84800E+01
    0.84338E+00    0.81534E+01
    0.86041E+00    0.78399E+01
    0.87780E+00    0.75391E+01
    0.89553E+00    0.72503E+01
    0.91362E+00    0.69731E+01
    0.93208E+00    0.67072E+01
    0.95091E+00    0.64519E+01
    0.97011E+00    0.62069E+01
    0.98971E+00    0.59717E+01
    0.10097E+01    0.57460E+01
    0.10301E+01    0.55294E+01
    0.10509E+01    0.53215E+01
    0.10721E+01    0.51219E+01
    0.10938E+01    0.49304E+01
    0.11159E+01    0.47465E+01
    0.11384E+01    0.45700E+01
    0.11614E+01    0.44006E+01
    0.11849E+01    0.42379E+01
    0.12088E+01    0.40818E+01
    0.12333E+01    0.39319E+01
    0.12582E+01    0.37880E+01
    0.12836E+01    0.36498E+01
    0.13095E+01    0.35171E+01
    0.13360E+01    0.33897E+01
    0.13630E+01    0.32674E+01
    0.13905E+01    0.31499E+01
    0.14186E+01    0.30371E+01
    0.14472E+01    0.29287E+01
    0.14765E+01    0.28246E+01
    0.15063E+01    0.27246E+01
    0.15367E+01    0.26286E+01
    0.15678E+01    0.25363E+01
    0.15994E+01    0.24476E+01
    0.16318E+01    0.23624E+01
    0.16647E+01    0.22806E+01
    0.16984E+01    0.22019E+01
    0.17327E+01    0.21263E+01
    0.17677E+01    0.20537E+01
    0.18034E+01    0.19838E+01
    0.18398E+01    0.19167E+01
    0.18770E+01    0.18521E+01
    0.19149E+01    0.17900E+01
    0.19536E+01    0.17303E+01
    0.19930E+01    0.16729E+01
    0.20333E+01    0.16176E+01
    0.20744E+01    0.15644E+01
    0.21163E+01    0.15132E+01
    0.21590E+01    0.14639E+01
    0.22026E+01    0.14165E+01
    0.22471E+01    0.13709E+01
