#           k/h    P           
    0.15759E-01    0.10529E+05
    0.16077E-01    0.10521E+05
    0.16402E-01    0.10508E+05
    0.16734E-01    0.10490E+05
    0.17072E-01    0.10465E+05
    0.17416E-01    0.10433E+05
    0.17768E-01    0.10396E+05
    0.18127E-01    0.10354E+05
    0.18493E-01    0.10307E+05
    0.18867E-01    0.10256E+05
    0.19248E-01    0.10200E+05
    0.19637E-01    0.10139E+05
    0.20034E-01    0.10073E+05
    0.20438E-01    0.10000E+05
    0.20851E-01    0.99208E+04
    0.21272E-01    0.98354E+04
    0.21702E-01    0.97446E+04
    0.22141E-01    0.96490E+04
    0.22588E-01    0.95492E+04
    0.23044E-01    0.94459E+04
    0.23510E-01    0.93391E+04
    0.23985E-01    0.92291E+04
    0.24469E-01    0.91156E+04
    0.24964E-01    0.89990E+04
    0.25468E-01    0.88791E+04
    0.25982E-01    0.87561E+04
    0.26507E-01    0.86298E+04
    0.27043E-01    0.85003E+04
    0.27589E-01    0.83675E+04
    0.28146E-01    0.82316E+04
    0.28715E-01    0.80930E+04
    0.29295E-01    0.79520E+04
    0.29887E-01    0.78091E+04
    0.30490E-01    0.76646E+04
    0.31106E-01    0.75190E+04
    0.31735E-01    0.73729E+04
    0.32376E-01    0.72267E+04
    0.33030E-01    0.70811E+04
    0.33697E-01    0.69365E+04
    0.34378E-01    0.67933E+04
    0.35072E-01    0.66520E+04
    0.35781E-01    0.65127E+04
    0.36504E-01    0.63759E+04
    0.37241E-01    0.62418E+04
    0.37993E-01    0.61107E+04
    0.38761E-01    0.59827E+04
    0.39544E-01    0.58581E+04
    0.40343E-01    0.57370E+04
    0.41158E-01    0.56195E+04
    0.41989E-01    0.55060E+04
    0.42838E-01    0.53968E+04
    0.43703E-01    0.52922E+04
    0.44586E-01    0.51926E+04
    0.45486E-01    0.50984E+04
    0.46405E-01    0.50094E+04
    0.47343E-01    0.49252E+04
    0.48299E-01    0.48455E+04
    0.49275E-01    0.47696E+04
    0.50270E-01    0.46974E+04
    0.51286E-01    0.46284E+04
    0.52322E-01    0.45622E+04
    0.53379E-01    0.44986E+04
    0.54457E-01    0.44371E+04
    0.55557E-01    0.43773E+04
    0.56680E-01    0.43188E+04
    0.57825E-01    0.42611E+04
    0.58993E-01    0.42037E+04
    0.60184E-01    0.41459E+04
    0.61400E-01    0.40871E+04
    0.62641E-01    0.40264E+04
    0.63906E-01    0.39631E+04
    0.65197E-01    0.38961E+04
    0.66514E-01    0.38246E+04
    0.67858E-01    0.37490E+04
    0.69229E-01    0.36699E+04
    0.70627E-01    0.35881E+04
    0.72054E-01    0.35030E+04
    0.73510E-01    0.34130E+04
    0.74994E-01    0.33170E+04
    0.76509E-01    0.32162E+04
    0.78055E-01    0.31126E+04
    0.79632E-01    0.30076E+04
    0.81241E-01    0.29023E+04
    0.82882E-01    0.27971E+04
    0.84556E-01    0.26929E+04
    0.86264E-01    0.25910E+04
    0.88007E-01    0.24921E+04
    0.89785E-01    0.23973E+04
    0.91598E-01    0.23076E+04
    0.93449E-01    0.22237E+04
    0.95337E-01    0.21463E+04
    0.97263E-01    0.20761E+04
    0.99227E-01    0.20133E+04
    0.10123E+00    0.19578E+04
    0.10328E+00    0.19094E+04
    0.10536E+00    0.18673E+04
    0.10749E+00    0.18305E+04
