# SKA_b2_LSST HIRAX512_z1_0_LSST ell HIRAX_z1_0_LSST HIRAX512_z1_8_LSST HIRAX_z1_4_LSST SKA_b1_LSST HIRAX512_z1_4_LSST HIRAX_z1_8_LSST
2.9144260346587085 1.5847284174116678e-99 45 1.5847284174116678e-99 4.350210750506307e-100 8.773161302352438e-100 4.137270094474854 8.773161302352438e-100 4.350210750506307e-100
2.923086542829724 1.5852634862084566e-99 46 1.5852634862084566e-99 4.397426498121606e-100 8.836491445779501e-100 4.166934631608187 8.836491445779501e-100 4.397426498121606e-100
2.9318189121933647 1.5850519007074366e-99 47 1.5850519007074366e-99 4.442666823143864e-100 8.895731278344017e-100 4.195813768907992 8.895731278344017e-100 4.442666823143864e-100
2.9406316663724628 1.584140755065373e-99 48 1.584140755065373e-99 4.4860927397670117e-100 8.950832726641501e-100 4.2239389020643605 8.950832726641501e-100 4.4860927397670117e-100
2.949528527961678 1.5825720999239917e-99 49 1.5825720999239917e-99 4.527868371851969e-100 9.001774753554332e-100 4.251341960724405 9.001774753554332e-100 4.527868371851969e-100
2.958516017976524 1.5803856577315026e-99 50 1.5803856577315026e-99 4.5681430481015303e-100 9.048551736970026e-100 4.278057118205783 9.048551736970026e-100 4.5681430481015303e-100
2.9675928400189884 1.5776150236974014e-99 51 1.5776150236974014e-99 4.607003981046758e-100 9.091228059400207e-100 4.304120191834963 9.091228059400207e-100 4.607003981046758e-100
2.976750304123993 1.574298451469473e-99 52 1.574298451469473e-99 4.644448433444527e-100 9.129878556631244e-100 4.3295623329606725 9.129878556631244e-100 4.644448433444527e-100
2.9859831976267537 1.5704854553001026e-99 53 1.5704854553001026e-99 4.680408744952484e-100 9.164612635901785e-100 4.354416520659165 9.164612635901785e-100 4.680408744952484e-100
2.995280583241876 1.5662182049433891e-99 54 1.5662182049433891e-99 4.71475783601754e-100 9.195549052873238e-100 4.378709068004611 9.195549052873238e-100 4.71475783601754e-100
3.004632965750697 1.561545727438973e-99 55 1.561545727438973e-99 4.747354472818456e-100 9.222852997817397e-100 4.402469091768788 9.222852997817397e-100 4.747354472818456e-100
3.0140285107454408 1.5565064146162832e-99 56 1.5565064146162832e-99 4.778082380217904e-100 9.246657907161717e-100 4.425720516733567 9.246657907161717e-100 4.778082380217904e-100
3.0234477191138507 1.5511336816936408e-99 57 1.5511336816936408e-99 4.806890033351985e-100 9.267104109388426e-100 4.448482575742749 9.267104109388426e-100 4.806890033351985e-100
3.032876356999685 1.5454580138526146e-99 58 1.5454580138526146e-99 4.833801348112093e-100 9.284309569122926e-100 4.470776356724695 9.284309569122926e-100 4.833801348112093e-100
3.0422946161456683 1.5395076937929482e-99 59 1.5395076937929482e-99 4.858883322891309e-100 9.298384427042424e-100 4.492619923721728 9.298384427042424e-100 4.858883322891309e-100
3.051683866358874 1.5333069721438154e-99 60 1.5333069721438154e-99 4.882240323725664e-100 9.30946070129756e-100 4.514031309561667 9.30946070129756e-100 4.882240323725664e-100
3.061016193773841 1.5268768322080864e-99 61 1.5268768322080864e-99 4.903982699811532e-100 9.317670688579863e-100 4.535025542916274 9.317670688579863e-100 4.903982699811532e-100
3.0702708219926236 1.520240290515094e-99 62 1.520240290515094e-99 4.92419564791937e-100 9.323184606646425e-100 4.555618726985305 9.323184606646425e-100 4.92419564791937e-100
3.0794287243020375 1.5134228346496955e-99 63 1.5134228346496955e-99 4.942946759873589e-100 9.326190527321414e-100 4.575826317082692 9.326190527321414e-100 4.942946759873589e-100
3.0884717295942914 1.5064484092097462e-99 64 1.5064484092097462e-99 4.960256702967779e-100 9.326901768328238e-100 4.5956593100353675 9.326901768328238e-100 4.960256702967779e-100
3.097392094313196 1.4993385985922723e-99 65 1.4993385985922723e-99 4.976131562808186e-100 9.32550865243378e-100 4.615123052590444 9.32550865243378e-100 4.976131562808186e-100
3.106166114237365 1.492118908512133e-99 66 1.492118908512133e-99 4.990558572564675e-100 9.322175496756807e-100 4.634222799644635 9.322175496756807e-100 4.990558572564675e-100
