#           k/h    P           
    0.35781E-01    0.31293E+04
    0.36504E-01    0.30636E+04
    0.37241E-01    0.29992E+04
    0.37993E-01    0.29362E+04
    0.38761E-01    0.28747E+04
    0.39544E-01    0.28148E+04
    0.40343E-01    0.27566E+04
    0.41158E-01    0.27002E+04
    0.41989E-01    0.26456E+04
    0.42838E-01    0.25931E+04
    0.43703E-01    0.25429E+04
    0.44586E-01    0.24950E+04
    0.45486E-01    0.24497E+04
    0.46405E-01    0.24070E+04
    0.47343E-01    0.23666E+04
    0.48299E-01    0.23283E+04
    0.49275E-01    0.22919E+04
    0.50270E-01    0.22573E+04
    0.51286E-01    0.22242E+04
    0.52322E-01    0.21925E+04
    0.53379E-01    0.21621E+04
    0.54457E-01    0.21326E+04
    0.55557E-01    0.21041E+04
    0.56680E-01    0.20761E+04
    0.57825E-01    0.20485E+04
    0.58993E-01    0.20211E+04
    0.60184E-01    0.19935E+04
    0.61400E-01    0.19654E+04
    0.62641E-01    0.19364E+04
    0.63906E-01    0.19061E+04
    0.65197E-01    0.18740E+04
    0.66514E-01    0.18397E+04
    0.67858E-01    0.18033E+04
    0.69229E-01    0.17653E+04
    0.70627E-01    0.17259E+04
    0.72054E-01    0.16848E+04
    0.73510E-01    0.16413E+04
    0.74994E-01    0.15948E+04
    0.76509E-01    0.15460E+04
    0.78055E-01    0.14957E+04
    0.79632E-01    0.14447E+04
    0.81241E-01    0.13935E+04
    0.82882E-01    0.13423E+04
    0.84556E-01    0.12915E+04
    0.86264E-01    0.12418E+04
    0.88007E-01    0.11936E+04
    0.89785E-01    0.11474E+04
    0.91598E-01    0.11037E+04
    0.93449E-01    0.10627E+04
    0.95337E-01    0.10250E+04
    0.97263E-01    0.99084E+03
    0.99227E-01    0.96030E+03
    0.10123E+00    0.93336E+03
    0.10328E+00    0.90992E+03
    0.10536E+00    0.88960E+03
    0.10749E+00    0.87195E+03
    0.10966E+00    0.85643E+03
    0.11188E+00    0.84235E+03
    0.11414E+00    0.82903E+03
    0.11644E+00    0.81578E+03
    0.11880E+00    0.80193E+03
    0.12120E+00    0.78690E+03
    0.12365E+00    0.77019E+03
    0.12614E+00    0.75147E+03
    0.12869E+00    0.73055E+03
    0.13129E+00    0.70748E+03
    0.13394E+00    0.68245E+03
    0.13665E+00    0.65588E+03
    0.13941E+00    0.62831E+03
    0.14223E+00    0.60044E+03
    0.14510E+00    0.57303E+03
    0.14803E+00    0.54688E+03
    0.15102E+00    0.52272E+03
    0.15407E+00    0.50112E+03
    0.15718E+00    0.48238E+03
    0.16036E+00    0.46651E+03
    0.16360E+00    0.45324E+03
    0.16690E+00    0.44213E+03
    0.17028E+00    0.43262E+03
    0.17371E+00    0.42407E+03
    0.17722E+00    0.41579E+03
    0.18080E+00    0.40705E+03
    0.18446E+00    0.39717E+03
    0.18818E+00    0.38575E+03
    0.19198E+00    0.37270E+03
    0.19586E+00    0.35835E+03
    0.19982E+00    0.34323E+03
    0.20386E+00    0.32796E+03
    0.20797E+00    0.31318E+03
    0.21218E+00    0.29947E+03
    0.21646E+00    0.28731E+03
    0.22083E+00    0.27691E+03
    0.22530E+00    0.26820E+03
    0.22985E+00    0.26085E+03
    0.23449E+00    0.25434E+03
    0.23923E+00    0.24809E+03
    0.24406E+00    0.24154E+03
    0.24899E+00    0.23428E+03
    0.25402E+00    0.22623E+03
    0.25915E+00    0.21754E+03
    0.26439E+00    0.20859E+03
    0.26973E+00    0.19982E+03
    0.27518E+00    0.19167E+03
    0.28074E+00    0.18442E+03
    0.28641E+00    0.17813E+03
    0.29219E+00    0.17264E+03
    0.29810E+00    0.16762E+03
    0.30412E+00    0.16271E+03
    0.31026E+00    0.15762E+03
    0.31653E+00    0.15220E+03
    0.32292E+00    0.14654E+03
    0.32945E+00    0.14087E+03
    0.33610E+00    0.13545E+03
    0.34289E+00    0.13046E+03
    0.34982E+00    0.12597E+03
    0.35689E+00    0.12189E+03
    0.36409E+00    0.11804E+03
    0.37145E+00    0.11422E+03
    0.37895E+00    0.11034E+03
    0.38661E+00    0.10639E+03
    0.39442E+00    0.10252E+03
    0.40239E+00    0.98823E+02
    0.41052E+00    0.95382E+02
    0.41881E+00    0.92191E+02
    0.42727E+00    0.89162E+02
    0.43590E+00    0.86206E+02
    0.44471E+00    0.83276E+02
    0.45369E+00    0.80382E+02
    0.46286E+00    0.77585E+02
    0.47221E+00    0.74930E+02
    0.48174E+00    0.72418E+02
    0.49148E+00    0.70023E+02
    0.50141E+00    0.67700E+02
    0.51153E+00    0.65429E+02
    0.52187E+00    0.63223E+02
    0.53241E+00    0.61102E+02
    0.54317E+00    0.59078E+02
    0.55414E+00    0.57139E+02
    0.56533E+00    0.55268E+02
    0.57675E+00    0.53452E+02
    0.58840E+00    0.51698E+02
    0.60029E+00    0.50010E+02
    0.61242E+00    0.48389E+02
    0.62479E+00    0.46829E+02
    0.63741E+00    0.45326E+02
    0.65029E+00    0.43877E+02
    0.66342E+00    0.42479E+02
    0.67683E+00    0.41132E+02
    0.69050E+00    0.39832E+02
    0.70445E+00    0.38579E+02
    0.71868E+00    0.37370E+02
    0.73320E+00    0.36204E+02
    0.74801E+00    0.35080E+02
    0.76312E+00    0.33995E+02
    0.77854E+00    0.32949E+02
    0.79426E+00    0.31940E+02
    0.81031E+00    0.30966E+02
    0.82668E+00    0.30027E+02
    0.84338E+00    0.29120E+02
    0.86041E+00    0.28246E+02
    0.87780E+00    0.27402E+02
    0.89553E+00    0.26588E+02
    0.91362E+00    0.25802E+02
    0.93208E+00    0.25043E+02
    0.95091E+00    0.24310E+02
    0.97011E+00    0.23603E+02
    0.98971E+00    0.22919E+02
    0.10097E+01    0.22259E+02
    0.10301E+01    0.21621E+02
    0.10509E+01    0.21004E+02
    0.10721E+01    0.20407E+02
    0.10938E+01    0.19831E+02
    0.11159E+01    0.19273E+02
    0.11384E+01    0.18734E+02
    0.11614E+01    0.18211E+02
    0.11849E+01    0.17706E+02
    0.12088E+01    0.17217E+02
    0.12333E+01    0.16744E+02
    0.12582E+01    0.16286E+02
    0.12836E+01    0.15842E+02
    0.13095E+01    0.15412E+02
    0.13360E+01    0.14995E+02
    0.13630E+01    0.14591E+02
    0.13905E+01    0.14199E+02
    0.14186E+01    0.13820E+02
    0.14472E+01    0.13451E+02
    0.14765E+01    0.13094E+02
    0.15063E+01    0.12747E+02
    0.15367E+01    0.12411E+02
    0.15678E+01    0.12084E+02
    0.15994E+01    0.11767E+02
    0.16318E+01    0.11459E+02
    0.16647E+01    0.11159E+02
    0.16984E+01    0.10869E+02
    0.17327E+01    0.10586E+02
    0.17677E+01    0.10311E+02
    0.18034E+01    0.10044E+02
    0.18398E+01    0.97844E+01
    0.18770E+01    0.95318E+01
    0.19149E+01    0.92859E+01
    0.19536E+01    0.90467E+01
    0.19930E+01    0.88138E+01
    0.20333E+01    0.85871E+01
    0.20744E+01    0.83663E+01
    0.21163E+01    0.81513E+01
    0.21590E+01    0.79418E+01
    0.22026E+01    0.77377E+01
    0.22471E+01    0.75388E+01
    0.22925E+01    0.73449E+01
    0.23388E+01    0.71559E+01
    0.23861E+01    0.69717E+01
    0.24343E+01    0.67920E+01
    0.24835E+01    0.66167E+01
    0.25336E+01    0.64457E+01
    0.25848E+01    0.62789E+01
    0.26370E+01    0.61161E+01
    0.26903E+01    0.59573E+01
    0.27447E+01    0.58023E+01
    0.28001E+01    0.56510E+01
    0.28567E+01    0.55033E+01
    0.29144E+01    0.53590E+01
    0.29733E+01    0.52182E+01
    0.30333E+01    0.50807E+01
    0.30946E+01    0.49464E+01
    0.31571E+01    0.48153E+01
    0.32209E+01    0.46872E+01
    0.32860E+01    0.45621E+01
    0.33523E+01    0.44398E+01
    0.34201E+01    0.43204E+01
    0.34892E+01    0.42038E+01
    0.35596E+01    0.40898E+01
    0.36316E+01    0.39785E+01
    0.37049E+01    0.38697E+01
    0.37798E+01    0.37635E+01
    0.38561E+01    0.36597E+01
    0.39340E+01    0.35583E+01
    0.40135E+01    0.34593E+01
    0.40946E+01    0.33625E+01
    0.41773E+01    0.32680E+01
    0.42617E+01    0.31757E+01
    0.43478E+01    0.30856E+01
    0.44356E+01    0.29975E+01
    0.45252E+01    0.29115E+01
    0.46166E+01    0.28276E+01
    0.47099E+01    0.27456E+01
    0.48050E+01    0.26655E+01
    0.49021E+01    0.25874E+01
    0.50011E+01    0.25111E+01
    0.51021E+01    0.24366E+01
    0.52052E+01    0.23639E+01
    0.53104E+01    0.22930E+01
    0.54176E+01    0.22239E+01
    0.55271E+01    0.21564E+01
    0.56387E+01    0.20906E+01
    0.57526E+01    0.20264E+01
    0.58689E+01    0.19638E+01
    0.59874E+01    0.19028E+01
    0.61084E+01    0.18434E+01
    0.62318E+01    0.17855E+01
    0.63577E+01    0.17290E+01
    0.64861E+01    0.16740E+01
    0.66171E+01    0.16204E+01
    0.67508E+01    0.15683E+01
    0.68872E+01    0.15175E+01
    0.70263E+01    0.14680E+01
    0.71682E+01    0.14199E+01
    0.73130E+01    0.13731E+01
    0.74608E+01    0.13275E+01
    0.76115E+01    0.12832E+01
    0.77653E+01    0.12402E+01
    0.79221E+01    0.11983E+01
    0.80822E+01    0.11576E+01
    0.82454E+01    0.11180E+01
    0.84120E+01    0.10796E+01
    0.85819E+01    0.10423E+01
    0.87553E+01    0.10060E+01
    0.89322E+01    0.97082E+00
    0.91126E+01    0.93665E+00
    0.92967E+01    0.90350E+00
    0.94845E+01    0.87134E+00
    0.96761E+01    0.84014E+00
    0.98716E+01    0.80989E+00
    0.10071E+02    0.78057E+00
    0.10274E+02    0.75216E+00
    0.10482E+02    0.72463E+00
    0.10694E+02    0.69796E+00
    0.10910E+02    0.67214E+00
    0.11130E+02    0.64715E+00
    0.11355E+02    0.62296E+00
    0.11584E+02    0.59955E+00
    0.11818E+02    0.57691E+00
    0.12057E+02    0.55502E+00
    0.12301E+02    0.53385E+00
    0.12549E+02    0.51340E+00
    0.12803E+02    0.49363E+00
    0.13061E+02    0.47453E+00
    0.13325E+02    0.45608E+00
    0.13594E+02    0.43827E+00
    0.13869E+02    0.42107E+00
    0.14149E+02    0.40447E+00
    0.14435E+02    0.38845E+00
    0.14727E+02    0.37299E+00
    0.15024E+02    0.35808E+00
    0.15328E+02    0.34370E+00
    0.15637E+02    0.32983E+00
    0.15953E+02    0.31646E+00
    0.16275E+02    0.30358E+00
    0.16604E+02    0.29116E+00
    0.16940E+02    0.27920E+00
    0.17282E+02    0.26768E+00
    0.17631E+02    0.25658E+00
    0.17987E+02    0.24590E+00
    0.18351E+02    0.23562E+00
    0.18721E+02    0.22573E+00
    0.19099E+02    0.21622E+00
    0.19485E+02    0.20708E+00
    0.19879E+02    0.19831E+00
    0.20280E+02    0.18988E+00
    0.20690E+02    0.18178E+00
    0.21108E+02    0.17402E+00
    0.21535E+02    0.16657E+00
    0.21970E+02    0.15943E+00
    0.22413E+02    0.15258E+00
    0.22866E+02    0.14603E+00
    0.23328E+02    0.13974E+00
    0.23799E+02    0.13372E+00
    0.24280E+02    0.12796E+00
