#           k/h    P           
    0.31735E-01    0.16911E+04
    0.32376E-01    0.16576E+04
    0.33030E-01    0.16243E+04
    0.33697E-01    0.15912E+04
    0.34378E-01    0.15584E+04
    0.35072E-01    0.15260E+04
    0.35781E-01    0.14941E+04
    0.36504E-01    0.14627E+04
    0.37241E-01    0.14320E+04
    0.37993E-01    0.14019E+04
    0.38761E-01    0.13725E+04
    0.39544E-01    0.13439E+04
    0.40343E-01    0.13161E+04
    0.41158E-01    0.12891E+04
    0.41989E-01    0.12630E+04
    0.42838E-01    0.12380E+04
    0.43703E-01    0.12139E+04
    0.44586E-01    0.11911E+04
    0.45486E-01    0.11694E+04
    0.46405E-01    0.11490E+04
    0.47343E-01    0.11297E+04
    0.48299E-01    0.11114E+04
    0.49275E-01    0.10941E+04
    0.50270E-01    0.10775E+04
    0.51286E-01    0.10618E+04
    0.52322E-01    0.10466E+04
    0.53379E-01    0.10321E+04
    0.54457E-01    0.10181E+04
    0.55557E-01    0.10044E+04
    0.56680E-01    0.99112E+03
    0.57825E-01    0.97799E+03
    0.58993E-01    0.96493E+03
    0.60184E-01    0.95178E+03
    0.61400E-01    0.93837E+03
    0.62641E-01    0.92455E+03
    0.63906E-01    0.91010E+03
    0.65197E-01    0.89477E+03
    0.66514E-01    0.87839E+03
    0.67858E-01    0.86100E+03
    0.69229E-01    0.84280E+03
    0.70627E-01    0.82395E+03
    0.72054E-01    0.80428E+03
    0.73510E-01    0.78343E+03
    0.74994E-01    0.76115E+03
    0.76509E-01    0.73769E+03
    0.78055E-01    0.71352E+03
    0.79632E-01    0.68902E+03
    0.81241E-01    0.66437E+03
    0.82882E-01    0.63974E+03
    0.84556E-01    0.61533E+03
    0.86264E-01    0.59140E+03
    0.88007E-01    0.56818E+03
    0.89785E-01    0.54592E+03
    0.91598E-01    0.52484E+03
    0.93449E-01    0.50512E+03
    0.95337E-01    0.48696E+03
    0.97263E-01    0.47050E+03
    0.99227E-01    0.45582E+03
    0.10123E+00    0.44288E+03
    0.10328E+00    0.43164E+03
    0.10536E+00    0.42192E+03
    0.10749E+00    0.41350E+03
    0.10966E+00    0.40612E+03
    0.11188E+00    0.39944E+03
    0.11414E+00    0.39314E+03
    0.11644E+00    0.38688E+03
    0.11880E+00    0.38033E+03
    0.12120E+00    0.37319E+03
    0.12365E+00    0.36524E+03
    0.12614E+00    0.35629E+03
    0.12869E+00    0.34626E+03
    0.13129E+00    0.33516E+03
    0.13394E+00    0.32309E+03
    0.13665E+00    0.31025E+03
    0.13941E+00    0.29691E+03
    0.14223E+00    0.28341E+03
    0.14510E+00    0.27012E+03
    0.14803E+00    0.25744E+03
    0.15102E+00    0.24574E+03
    0.15407E+00    0.23529E+03
    0.15718E+00    0.22624E+03
    0.16036E+00    0.21860E+03
    0.16360E+00    0.21225E+03
    0.16690E+00    0.20696E+03
    0.17028E+00    0.20246E+03
    0.17371E+00    0.19844E+03
    0.17722E+00    0.19456E+03
    0.18080E+00    0.19044E+03
    0.18446E+00    0.18575E+03
    0.18818E+00    0.18029E+03
    0.19198E+00    0.17401E+03
    0.19586E+00    0.16707E+03
    0.19982E+00    0.15974E+03
    0.20386E+00    0.15232E+03
    0.20797E+00    0.14513E+03
    0.21218E+00    0.13848E+03
    0.21646E+00    0.13258E+03
    0.22083E+00    0.12757E+03
    0.22530E+00    0.12341E+03
    0.22985E+00    0.11992E+03
    0.23449E+00    0.11685E+03
    0.23923E+00    0.11391E+03
    0.24406E+00    0.11081E+03
    0.24899E+00    0.10735E+03
    0.25402E+00    0.10348E+03
    0.25915E+00    0.99282E+02
    0.26439E+00    0.94944E+02
    0.26973E+00    0.90691E+02
    0.27518E+00    0.86742E+02
    0.28074E+00    0.83246E+02
    0.28641E+00    0.80236E+02
    0.29219E+00    0.77625E+02
    0.29810E+00    0.75252E+02
    0.30412E+00    0.72933E+02
    0.31026E+00    0.70513E+02
    0.31653E+00    0.67923E+02
    0.32292E+00    0.65202E+02
    0.32945E+00    0.62468E+02
    0.33610E+00    0.59855E+02
    0.34289E+00    0.57464E+02
    0.34982E+00    0.55324E+02
    0.35689E+00    0.53389E+02
    0.36409E+00    0.51568E+02
    0.37145E+00    0.49763E+02
    0.37895E+00    0.47916E+02
    0.38661E+00    0.46035E+02
    0.39442E+00    0.44183E+02
    0.40239E+00    0.42422E+02
    0.41052E+00    0.40788E+02
    0.41881E+00    0.39281E+02
    0.42727E+00    0.37855E+02
    0.43590E+00    0.36463E+02
    0.44471E+00    0.35080E+02
    0.45369E+00    0.33713E+02
    0.46286E+00    0.32392E+02
    0.47221E+00    0.31142E+02
    0.48174E+00    0.29964E+02
    0.49148E+00    0.28845E+02
    0.50141E+00    0.27759E+02
    0.51153E+00    0.26698E+02
    0.52187E+00    0.25668E+02
    0.53241E+00    0.24679E+02
    0.54317E+00    0.23739E+02
    0.55414E+00    0.22842E+02
